Fecha,Equipo_Local,Equipo_Visitante,Goles_Local,Goles_Visita,Ganador
1,Deportes Limache,Coquimbo Unido,1,2,Visita
1,Deportes La Serena,Unión Española,1,0,Local
1,Palestino,Audax Italiano,0,2,Visita
1,Universidad Católica,Deportes Iquique,1,0,Local
1,Everton,Ñublense,1,2,Visita
1,Huachipato,Colo-Colo,2,1,Local
1,Cobresal,Universidad de Chile,2,1,Local
1,Unión La Calera,O'Higgins,2,2,Empate
2,Audax Italiano,Deportes Iquique,4,2,Local
2,Unión Española,Palestino,0,3,Visita
2,Coquimbo Unido,Universidad Católica,1,0,Local
2,Ñublense,Deportes Limache,1,1,Empate
2,Huachipato,Everton,4,0,Local
2,Cobresal,Deportes La Serena,3,1,Local
2,Universidad de Chile,Unión La Calera,1,0,Local
2,Colo-Colo,O'Higgins,0,1,Visita
3,Deportes Limache,Coquimbo Unido,1,2,Visita
3,Deportes La Serena,Unión Española,1,0,Local
3,Palestino,Audax Italiano,0,2,Visita
3,Universidad Católica,Deportes Iquique,1,0,Local
3,Everton,Ñublense,1,2,Visita
3,Huachipato,Colo-Colo,2,1,Local
3,Cobresal,Universidad de Chile,2,1,Local
3,Unión La Calera,O'Higgins,2,2,Empate
4,Unión La Calera,Huachipato,1,0,Local
4,Ñublense,Universidad Católica,1,1,Empate
4,Deportes Iquique,Palestino,1,3,Visita
4,Audax Italiano,Deportes Limache,3,1,Local
4,Coquimbo Unido,Cobresal,1,1,Empate
4,O'Higgins,Deportes La Serena,1,1,Empate
4,Colo-Colo,Everton,2,0,Local
4,Unión Española,Universidad de Chile,0,2,Visita
5,Audax Italiano,Universidad de Chile,1,1,Empate
5,Deportes Limache,Huachipato,2,3,Visita
5,Everton,Coquimbo Unido,0,0,Empate
5,Deportes La Serena,Unión La Calera,1,0,Local
5,Cobresal,O'Higgins,0,0,Empate
5,Palestino,Ñublense,2,0,Local
5,Deportes Iquique,Unión Española,0,4,Visita
5,Universidad Católica,Colo-Colo,2,0,Local
6,Colo-Colo,Palestino,1,1,Empate
6,Everton,Universidad de Chile,2,0,Local
6,Unión Española,Universidad Católica,1,2,Visita
6,Ñublense,Deportes Iquique,1,1,Empate
6,O'Higgins,Deportes Limache,3,1,Local
